SMILES;ID;pIC50;label;RBN;RBF;nDB;nBnz;D/Dtr06;DECC;X5v;Yindex;TI2_L;Chi_Dz(Z);ATSC8m;GATS4s;JGI3;SpMax2_Bh(p);SpMin2_Bh(m);SpMin3_Bh(m);SpMin2_Bh(e);SpMin3_Bh(s);SpMin4_Bh(s);SpMin5_Bh(s);P_VSA_LogP_4;P_VSA_m_3;P_VSA_v_3;P_VSA_p_2;P_VSA_ppp_L;P_VSA_ppp_D;P_VSA_ppp_A;P_VSA_ppp_con;P_VSA_ppp_cyc;SpMaxA_EA(ed);SpMax_AEA(bo);SpMax_AEA(dm);SpMaxA_AEA(dm);Chi1_EA(dm);SM09_EA(dm);SM12_AEA(bo);SM15_AEA(bo);SM09_AEA(dm);SM15_AEA(ri);Eig02_AEA(dm);nCb-;nROH;C-006;C-008;C-027;H-047;O-058;O-060;SdssC;SsssN;NssCH2;NdssC;CATS2D_09_DL;CATS2D_07_PL;CATS2D_00_LL;CATS2D_03_LL;CATS2D_09_LL;T(N..N);T(N..O);T(N..F);T(O..O);B04[N-O];B07[N-O];F01[C-C];F01[C-O];F01[N-N];F02[C-N];F02[N-N];F03[C-N];F03[C-O];F04[C-O];F05[C-C];F05[N-O];F06[C-N];F06[C-O];F07[C-C];F07[C-N];F07[C-O];F08[C-N];F08[C-O];F09[C-N];F09[C-O];F09[C-Cl];F10[C-F];MLOGP2;PDI
CCc1cc(F)c2c(c1)c(C)c(c(n2)N3CCC(CC3)NC4CCOCC4)-c5onc(n5)C;4592045;9;ACT;5;0.07;0;1;383.07;1.71;3.8;0.48;3.75;0.26;43.47;0.73;0.04;3.74;2.05;1.95;1.86;1.29;1.03;0.83;69.19;35.69;104.57;95.04;70.23;18.01;77.03;100.47;152.58;0.33;4.74;3.46;0.09;50.7;0.13;2.57;2.17;0.56;2.91;3.13;4;0;4;2;0;12;0;1;0;2.25;9;0;2;0;14;7;6;49;65;32;12;1;0;22;3;0;14;2;17;4;2;34;0;15;6;22;14;5;10;1;7;2;0;1;22.62;0.98
COCC(C#Cc1c(Cl)c2c(n1C3CCCNC3)nc(cc2Cl)C(=O)N)(C)C;4457529;8.96;ACT;4;0.07;1;0;152.61;1.32;2.71;0.79;3.1;0.33;40.87;0.69;0.07;3.68;1.97;1.87;1.83;1.04;0.87;0.61;59.35;36.15;185.75;105.74;147.13;50.91;54.83;67.77;72.26;0.42;4.85;3.74;0.13;18.03;0;2.56;1.54;-0.53;2.79;3.64;0;0;3;1;0;11;1;0;-0.64;0;5;1;1;3;11;4;0;26;52;0;11;0;0;17;3;0;11;1;10;4;3;25;1;8;4;19;10;6;5;5;3;5;0;0;8;0.94
COC(=O)c1ccc2c(c1)NC(=O)C2=C(c3ccccc3)Nc4ccc(cc4)N5C(CCC5=O)CN6CCN(CC6)C;4170680 4171244;8.93;ACT;8;0.1;4;3;557.81;2.07;4.28;0.36;5.75;0.2;46.16;0.98;0.05;3.87;2.02;1.98;1.89;1.18;1.09;1.06;112.8;86.44;188.96;131.83;131.53;36.02;95.81;199.67;185.01;0.25;4.66;3.81;0.08;62.2;5.91;2.64;2.14;1;3.22;3.71;6;0;5;1;0;29;3;1;0.57;6.76;7;5;0;0;18;12;7;76;197;0;57;1;1;29;5;0;17;0;12;11;10;50;3;12;12;41;14;7;7;5;10;9;0;0;8.55;1
NC(=O)c1cc(Cl)c2c(n1)n(C3CCCNC3)c(c2Cl)C#CC4COCCO4;4466764 4528544;8.81;ACT;2;0.04;1;0;234.62;1.36;2.96;0.65;3.11;0.34;40.28;0.66;0.06;3.65;1.88;1.87;1.82;1.04;0.88;0.81;70.35;47.15;166.4;116.74;129.48;50.91;65.83;67.77;108.03;0.41;4.84;3.69;0.12;20.87;0;2.52;1.57;-0.25;2.59;3.49;0;0;5;2;0;13;1;0;-0.64;0;7;1;0;3;8;2;0;26;82;0;24;0;1;16;5;0;11;1;10;3;4;24;2;9;7;16;8;9;4;8;4;7;1;0;3.42;0.99
COC(=O)c1ccc2c(c1)NC(=O)C2=C(c3ccccc3)Nc4ccc(cc4)N(C(=O)CN5CCN(CC5)C)C;502835;8.59;ACT;8;0.1;4;3;576.81;2.17;3.52;0.39;5.88;0.2;43.85;1.07;0.05;3.84;2.01;1.98;1.89;1.1;1.06;0.83;112.8;86.44;192.29;131.83;126.46;36.02;95.81;199.67;172.11;0.27;4.66;3.76;0.09;53.26;6.12;2.64;2.12;1;3.13;3.71;6;0;5;0;0;31;3;1;0.41;6.13;5;5;0;0;16;12;3;76;193;0;57;1;1;26;5;0;15;0;11;10;11;42;2;11;10;40;11;6;7;5;10;8;0;0;6.51;0.99
N#CC(CC#Cc1c(Cl)c2c(n1C3CCCNC3)nc(cc2Cl)C(=O)N)(C)C;4445116;8.52;ACT;3;0.06;1;0;153.33;1.39;2.7;0.76;3.36;0.32;45.6;0.96;0.07;3.69;1.98;1.87;1.83;1.04;0.87;0.61;64.95;25.15;189.41;125.8;149.66;50.91;74.89;67.77;72.26;0.42;4.84;4.3;0.14;17.65;0;2.56;1.56;-0.53;2.91;3.68;0;0;2;1;0;6;1;0;-0.66;0;5;1;3;3;12;5;6;64;30;0;0;0;0;18;1;0;12;1;13;1;2;25;1;12;3;21;8;3;9;2;8;2;3;0;7.55;0.95
COCCC#Cc1c(Cl)c2c(n1C3CCCNC3)nc(cc2Cl)C(=O)N;4540910;8.52;ACT;4;0.08;1;0;139.2;1.37;2.67;0.79;2.75;0.35;36.73;0.66;0.07;3.65;1.87;1.84;1.82;1.03;0.86;0.6;59.35;36.15;170.63;105.74;132.01;50.91;54.83;67.77;72.26;0.45;4.84;3.68;0.13;16.28;0;2.22;1.53;-0.57;2.35;3.49;0;0;3;1;0;11;1;0;-0.63;0;6;1;1;3;9;2;0;26;52;0;11;0;0;15;3;0;11;1;10;2;3;23;1;8;4;13;8;6;3;5;3;5;0;0;5.7;0.97
NC(=O)c1cc(Cl)c2c(n1)n(C3CCCNC3)c(c2Cl)C#CC4(C)COC4;4470576;8.52;ACT;2;0.04;1;0;143.37;1.31;2.73;0.69;2.73;0.35;36.23;0.69;0.07;3.73;1.99;1.87;1.85;1.04;0.87;0.59;59.35;36.15;170.63;105.74;138.3;50.91;54.83;67.77;92.44;0.42;4.85;3.83;0.13;18.49;0;2.56;1.55;-0.28;2.81;3.67;0;0;4;1;0;10;1;0;-0.63;0;6;1;1;3;10;3;0;26;52;0;11;0;0;17;3;0;11;1;10;3;3;24;1;8;4;18;9;6;5;5;2;5;0;0;6.81;0.98
COc1ccc(cc1)CCN2CCC(CC2)Nc3nc4c(n3CC5CCCCC5)cccc4;4207128;8.48;ACT;8;0.11;0;2;421.95;2.27;4.24;0.36;5.84;0.21;46.45;1.01;0.03;3.87;2.07;2.01;1.92;1.21;1.14;0.96;34.8;11;130.01;50.82;99.27;18.01;32.81;102.92;134.19;0.3;4.63;3.29;0.09;37.29;0.13;2.51;1.99;0.79;2.65;2.95;4;0;4;1;0;20;0;1;0;2.61;12;0;2;0;18;8;3;22;44;0;0;0;1;25;2;0;10;3;16;2;1;29;0;6;1;34;8;0;8;2;8;2;0;0;20.16;0.99
COC(CC#Cc1c(Cl)c2c(n1C3CCCNC3)nc(cc2Cl)C(=O)N)(C)C;4541837;8.4;ACT;4;0.07;1;0;153.33;1.39;2.72;0.76;3.36;0.32;47.32;0.61;0.07;3.65;1.95;1.87;1.82;1.04;0.87;0.61;59.35;36.15;183.69;105.74;149.66;50.91;54.83;67.77;72.26;0.42;4.84;3.69;0.12;21.18;0;2.56;1.56;-0.53;2.89;3.52;0;0;2;1;0;9;1;0;-0.64;0;5;1;3;3;11;4;6;26;52;0;11;0;0;17;3;0;11;1;10;2;3;25;1;10;4;19;8;6;5;5;5;5;2;0;8;0.95
CN(Cc1ccc2c(c1)OCO2)CC=Cc3ccc(cc3C(F)(F)F)F;4161555;8.38;ACT;5;0.11;1;2;171.3;1.67;1.68;0.51;5.97;0.25;16.26;0.79;0.06;3.86;1.98;1.79;1.89;0.94;0.65;0.58;0;81.84;131.99;25.12;85.37;0;25.12;104.98;114.67;0.44;4.56;4.47;0.16;27.29;12.07;2.47;1.53;-0.76;2.77;3.32;6;0;2;0;0;15;0;2;0;1.94;3;0;0;0;11;7;6;0;11;29;2;0;0;17;4;0;2;0;3;4;3;14;1;4;2;15;1;3;0;2;0;2;0;7;18.95;0.97
NC(=O)c1cc(Cl)c2c(n1)n(C3CCCNC3)c(c2Cl)C#CC4CCCO4;4518492;8.3;ACT;2;0.04;1;0;142.01;1.35;2.81;0.68;2.82;0.35;42.02;0.7;0.06;3.67;1.87;1.86;1.82;1.04;0.88;0.79;59.35;36.15;162.28;105.74;134.55;50.91;54.83;67.77;92.92;0.42;4.84;3.69;0.12;18.78;0;2.54;1.55;-0.27;2.6;3.49;0;0;3;2;0;9;1;0;-0.63;0;7;1;1;3;10;4;3;26;48;0;10;0;1;17;3;0;11;1;10;2;3;24;2;10;6;18;7;6;5;5;4;4;2;0;6.81;1
NC(=O)c1cc(Cl)c2c(n1)n(C3CCCNC3)c(c2Cl)C#CCC4(C)COC4;4457389;8.3;ACT;3;0.06;1;0;151.51;1.39;2.8;0.64;3.34;0.32;48.11;0.67;0.07;3.75;2.03;1.87;1.86;1.04;0.87;0.62;59.35;36.15;173.17;105.74;140.84;50.91;54.83;67.77;92.44;0.41;4.84;3.68;0.12;20.84;0;2.56;1.57;-0.22;2.91;3.49;0;0;4;1;0;10;1;0;-0.63;0;7;1;2;3;11;4;3;26;56;0;12;0;1;18;3;0;11;1;10;3;3;25;1;11;4;21;7;4;6;5;5;5;3;0;8;0.98
NC1C(C)OCC12CCN(CC2)c3cnc4c(n3)[nH]nc4-c5cccc(c5Cl)Cl;4475043 4475081;8.28;ACT;2;0.04;0;1;246.15;2.01;3.32;0.44;4.07;0.28;17.48;1.08;0.05;3.84;1.96;1.82;1.88;1.04;0.86;0.83;74.72;11;157.6;113.92;123.81;49.56;64.36;119.65;151.5;0.43;4.65;3.64;0.11;22.75;0.13;2.67;1.55;0.1;2.73;3.44;3;0;3;2;1;11;0;0;0;2.25;5;0;0;0;10;7;3;67;42;0;0;0;1;18;2;1;15;2;14;2;2;15;1;14;1;12;10;1;8;1;6;1;2;0;12.08;1
