SMILES;ID;pIC50;label;nDB;nBnz;ARR;MAXDN;MAXDP;PCR;Yindex;Chi_Dz(Z);ATSC3m;ATSC7v;JGI3;SpMax4_Bh(m);SpMax3_Bh(v);SpMax5_Bh(v);SpMax8_Bh(v);SpMax2_Bh(p);SpMin4_Bh(m);SpMin2_Bh(v);SpMin2_Bh(e);SpMin2_Bh(s);P_VSA_LogP_4;P_VSA_p_2;SpMaxA_EA(ed);nCrs;nCb-;nRNR2;nArOR;nArX;C-006;C-024;C-040;H-053;O-058;SssCH2;SsssCH;SdssC;SaasC;SssssC;SaasN;NssCH2;NsssCH;NdssC;CATS2D_04_DL;CATS2D_00_AA;CATS2D_02_AA;CATS2D_05_AA;CATS2D_06_AA;CATS2D_08_AA;CATS2D_04_AL;CATS2D_00_LL;CATS2D_03_LL;CATS2D_07_LL;CATS2D_09_LL;T(N..N);T(N..O);T(N..F);T(O..O);B01[N-O];B02[O-O];B06[N-O];F03[C-N];F03[N-O];F04[C-N];F04[C-O];F05[C-C];F05[N-O];F05[O-O];F06[C-N];F06[C-O];F07[C-C];F07[C-O];F07[C-Cl];F07[N-N];F08[C-N];F08[C-O];F08[N-N];F10[C-C];F10[N-N];MLOGP2
CCc1cc(F)c2c(c1)c(C)c(c(n2)N3CCC(CC3)NC4CCOCC4)-c5onc(n5)C;4592045;9;ACT;0;1;0.43;1.95;7.07;1.38;0.48;0.26;39.68;22.94;0.04;3.62;3.64;3.4;2.91;3.74;1.83;2.05;1.86;1.33;69.19;95.04;0.33;6;4;0;0;1;4;2;0;8;0;8.3;1.01;0;4.16;0;0;9;2;0;0;6;3;2;0;1;11;14;7;5;6;49;65;32;12;1;0;0;17;0;11;2;34;0;0;15;6;22;5;0;0;10;1;1;19;0;22.62
COCC(C#Cc1c(Cl)c2c(n1C3CCCNC3)nc(cc2Cl)C(=O)N)(C)C;4457529;8.96;ACT;1;0;0.33;2.3;4.71;1.38;0.79;0.33;31.14;15.66;0.07;3.62;3.63;3.05;2.76;3.68;1.6;1.94;1.83;1.18;59.35;105.74;0.42;3;0;0;0;2;3;1;1;0;1;4.19;0.1;-0.64;1.53;-0.35;2;5;1;1;0;4;1;1;1;1;8;11;4;7;0;26;52;0;11;0;0;1;10;1;11;3;25;1;0;8;4;19;6;3;0;5;5;1;3;0;8
COC(=O)c1ccc2c(c1)NC(=O)C2=C(c3ccccc3)Nc4ccc(cc4)N5C(CCC5=O)CN6CCN(CC6)C;4170680 4171244;8.93;ACT;4;3;0.38;2.13;6.29;1.35;0.36;0.2;42.03;26.48;0.05;3.73;3.8;3.56;3.06;3.87;1.96;2.03;1.89;1.2;112.8;131.83;0.25;3;6;2;0;0;5;12;3;0;3;6.46;0.16;0.57;4.15;0;0;7;1;5;5;7;2;1;1;1;8;18;12;19;7;76;197;0;57;0;1;0;12;0;16;10;50;3;0;12;12;41;7;0;0;7;5;1;31;0;8.55
NC(=O)c1cc(Cl)c2c(n1)n(C3CCCNC3)c(c2Cl)C#CC4COCCO4;4466764 4528544;8.81;ACT;1;0;0.32;2.31;4.7;1.39;0.65;0.34;30.92;11.91;0.06;3.63;3.59;3.13;2.75;3.65;1.62;1.94;1.82;1.09;70.35;116.74;0.41;4;0;0;0;2;5;1;1;0;1;5.15;-0.23;-0.64;1.45;0;1.97;7;2;1;0;5;1;2;1;1;7;8;2;2;0;26;82;0;24;0;0;1;10;1;11;4;24;2;0;9;7;16;9;4;0;4;8;1;5;0;3.42
COC(=O)c1ccc2c(c1)NC(=O)C2=C(c3ccccc3)Nc4ccc(cc4)N(C(=O)CN5CCN(CC5)C)C;502835;8.59;ACT;4;3;0.41;2.14;6.21;1.37;0.39;0.2;36.57;23.46;0.05;3.73;3.79;3.43;2.99;3.84;1.96;2.03;1.89;1.18;112.8;131.83;0.27;0;6;2;0;0;5;12;3;0;3;4.09;0;0.41;3.99;0;0;5;0;5;5;7;2;0;2;0;7;16;12;19;3;76;193;0;57;0;1;1;11;1;15;11;42;2;0;11;10;40;6;0;0;7;5;1;23;0;6.51
N#CC(CC#Cc1c(Cl)c2c(n1C3CCCNC3)nc(cc2Cl)C(=O)N)(C)C;4445116;8.52;ACT;1;0;0.33;2.32;4.68;1.4;0.76;0.32;29.05;12.54;0.07;3.64;3.64;3.13;2.74;3.69;1.62;1.95;1.83;1.19;64.95;125.8;0.42;3;0;0;0;2;2;1;2;0;1;4;0.07;-0.66;1.39;-0.56;1.95;5;1;1;0;4;1;1;0;0;8;12;5;10;6;64;30;0;0;0;0;0;13;1;12;2;25;1;0;12;3;21;3;6;1;9;2;1;6;1;7.55
COCCC#Cc1c(Cl)c2c(n1C3CCCNC3)nc(cc2Cl)C(=O)N;4540910;8.52;ACT;1;0;0.36;2.3;4.63;1.38;0.79;0.35;27.81;11.89;0.07;3.49;3.53;3.04;2.74;3.65;1.59;1.94;1.82;1.05;59.35;105.74;0.45;3;0;0;0;2;3;1;1;0;1;4.86;0.12;-0.63;1.56;0;1.99;6;1;1;0;4;1;1;1;1;8;9;2;5;0;26;52;0;11;0;0;1;10;1;11;3;23;1;0;8;4;13;6;3;0;3;5;1;3;0;5.7
NC(=O)c1cc(Cl)c2c(n1)n(C3CCCNC3)c(c2Cl)C#CC4(C)COC4;4470576;8.52;ACT;1;0;0.33;2.3;4.68;1.38;0.69;0.35;27.62;13.9;0.07;3.64;3.64;3.05;2.71;3.73;1.57;1.99;1.85;1.26;59.35;105.74;0.42;3;0;0;0;2;4;1;1;0;1;4.95;0.12;-0.63;1.6;-0.18;2.01;6;1;1;0;4;1;1;1;1;8;10;3;6;0;26;52;0;11;0;0;1;10;1;11;3;24;1;0;8;4;18;6;3;0;5;5;1;0;0;6.81
COc1ccc(cc1)CCN2CCC(CC2)Nc3nc4c(n3CC5CCCCC5)cccc4;4207128;8.48;ACT;0;2;0.43;0.83;2.01;1.37;0.36;0.21;44.16;25.2;0.03;3.71;3.73;3.32;2.93;3.87;2;2.06;1.92;1.42;34.8;50.82;0.3;8;4;1;1;0;4;8;0;4;0;14.87;1.29;0;3.4;0;2.47;12;2;0;3;4;1;0;2;0;12;18;8;19;3;22;44;0;0;0;0;0;16;0;14;1;29;0;0;6;1;34;0;0;0;8;2;0;16;0;20.16
COC(CC#Cc1c(Cl)c2c(n1C3CCCNC3)nc(cc2Cl)C(=O)N)(C)C;4541837;8.4;ACT;1;0;0.33;2.3;4.7;1.38;0.76;0.32;32.5;13.3;0.07;3.62;3.62;3.12;2.8;3.65;1.62;1.94;1.82;1.17;59.35;105.74;0.42;3;0;0;0;2;2;1;1;0;1;4.24;0.11;-0.64;1.54;-0.36;2;5;1;1;0;4;1;1;1;1;8;11;4;9;6;26;52;0;11;0;0;1;10;1;11;3;25;1;0;10;4;19;6;5;0;5;5;1;7;0;8
