SMILES;ID;pIC50;label;RBN;RBF;nDB;nBnz;D/Dtr06;DECC;X5v;Yindex;TI2_L;Chi_Dz(Z);ATSC8m;GATS4s;JGI3;SpMax2_Bh(p);SpMin2_Bh(m);SpMin3_Bh(m);SpMin2_Bh(e);SpMin3_Bh(s);SpMin4_Bh(s);SpMin5_Bh(s);P_VSA_LogP_4;P_VSA_m_3;P_VSA_v_3;P_VSA_p_2;P_VSA_ppp_L;P_VSA_ppp_D;P_VSA_ppp_A;P_VSA_ppp_con;P_VSA_ppp_cyc;SpMaxA_EA(ed);SpMax_AEA(bo);SpMax_AEA(dm);SpMaxA_AEA(dm);Chi1_EA(dm);SM09_EA(dm);SM12_AEA(bo);SM15_AEA(bo);SM09_AEA(dm);SM15_AEA(ri);Eig02_AEA(dm);nCb-;nROH;C-006;C-008;C-027;H-047;O-058;O-060;SdssC;SsssN;NssCH2;NdssC;CATS2D_09_DL;CATS2D_07_PL;CATS2D_00_LL;CATS2D_03_LL;CATS2D_09_LL;T(N..N);T(N..O);T(N..F);T(O..O);B04[N-O];B07[N-O];F01[C-C];F01[C-O];F01[N-N];F02[C-N];F02[N-N];F03[C-N];F03[C-O];F04[C-O];F05[C-C];F05[N-O];F06[C-N];F06[C-O];F07[C-C];F07[C-N];F07[C-O];F08[C-N];F08[C-O];F09[C-N];F09[C-O];F09[C-Cl];F10[C-F];MLOGP2;PDI
CC(=O)N1CCN(CC1)c1cnc2c(c1)c(cc(c2)C(F)(F)F)NC(c1cccc(c1)[N+](=O)[O-])[2H];3221132;INA;INA;5;0.09;3;2;403.59;1.91;2.79;0.51;4.4;0.24;26.18;0.91;0.04;3.87;2.03;1.95;1.93;1.14;0.83;0.74;76.42;120.77;126.56;122.61;84.1;18.01;104.6;106.81;126.2;0.32;4.63;4.46;0.12;47.52;12.11;2.8;2.05;0.55;3.17;3.78;6;0;5;0;1;17;1;0;0;3.78;5;1;0;0;11;5;1;66;122;117;34;0;0;20;1;0;15;0;11;6;6;23;1;7;1;26;11;4;10;5;9;8;0;9;10.06;0.99
CC(C(=O)N1CCC(CC1)n1nc(c(c1C)Nc1ncc(c(n1)c1cnn2c1cccc2)Cl)C)N;3822644 3824103;INA;INA;5;0.08;1;0;336.99;2.24;3.31;0.4;5.46;0.23;33.99;1.62;0.06;3.86;2.01;1.84;1.86;0.98;0.95;0.83;120.29;25.15;156.94;149.02;102.31;50.91;98.11;143.86;159.57;0.29;4.63;3.81;0.1;37.26;6.1;2.74;1.94;0.68;2.98;3.38;0;0;2;2;2;9;1;0;0;1.84;4;1;1;0;10;2;5;244;79;0;0;0;1;19;1;2;26;3;23;3;2;23;0;17;0;19;17;1;18;3;10;1;1;0;6.13;1
CC(N1CCN(CC1)C(=O)C1CC21CCN(CC2)C1CCOCC1)C;3124968 3127672 3127698;INA;INA;3;0.05;1;0;258.8;1.98;3.66;0.48;4.28;0.24;28.07;1.3;0.05;3.66;2.02;1.9;1.81;1.28;1.03;0.83;40.85;36.15;56.85;45.52;30.32;0;45.52;0;54.86;0.53;4.72;4;0.14;41.68;5.91;2.55;1.25;-0.71;1.91;3.38;0;0;8;2;0;18;1;0;0.46;7.32;13;1;0;0;9;0;4;18;40;0;10;1;0;16;3;0;11;0;5;5;4;17;1;2;3;14;5;4;6;4;2;3;0;0;4.02;0.93
CC1CCCCN1CCCNCc1ccc(cc1)CNCCCN1CCCCC1C;2170299 2170444;INA;INA;12;0.15;0;1;369.66;3.04;3.61;0.35;8.38;0.16;30.04;1.06;0.03;3.75;2.08;2.06;1.86;1.25;1.2;1.14;0;0;99.05;42.27;82.2;36.02;6.25;44.28;69.94;0.27;4.04;3.06;0.1;53.34;0.24;2.23;1.45;0.08;1.78;3.06;2;0;8;2;0;22;0;0;0;5.33;16;0;2;0;16;5;14;52;0;0;0;0;0;22;0;0;12;0;10;0;0;19;0;10;0;18;6;0;6;0;4;0;0;0;11.99;0.94
CC1CN(CCN1S(=O)(=O)c1ccc(cc1)C(C(F)(F)F)(O)C)CC1(CC1)C(=O)N;460962 465955 489500;INA;INA;6;0.1;3;1;230.85;2.17;3.47;0.58;4.72;0.27;37.36;1.19;0.07;3.87;1.98;1.71;1.81;1.03;0.9;0.86;74.16;157.02;92.06;149.68;63.81;75.58;116.78;42.64;58.67;0.48;4.95;4.73;0.15;38.03;9.96;2.64;1.75;-0.51;2.69;4.55;2;1;4;1;0;13;3;0;-0.33;3.34;6;1;1;1;10;4;7;14;76;102;48;1;1;17;2;0;8;0;9;13;12;19;2;8;6;8;5;7;1;8;2;4;0;9;1.45;0.91
CCOC(=O)C1=C(CN2CC(C)(C)OCC2C(=O)O)NC(=NC1c1ccc(cc1Br)F)c1nccs1;4074324 4104891;INA;INA;8;0.12;4;1;357.54;1.44;3.51;0.66;3.25;0.26;65.89;0.84;0.05;3.81;1.97;1.82;1.82;0.99;0.94;0.9;146.65;129.93;194.89;169.68;138.51;60.69;151.67;135.59;173.37;0.3;4.58;3.86;0.1;33.78;7.76;2.79;2.12;0.62;3;3.81;3;1;4;2;1;13;2;1;-0.53;1.76;4;5;2;0;10;3;5;22;118;32;60;1;1;19;7;0;12;1;9;8;10;33;2;14;17;32;13;17;8;14;3;9;0;5;5.78;0.93
CCOC(=O)C1=C(CN2CCOC(C2)CCC(=O)O)NC(=NC1c1ccc(cc1Br)F)c1nccs1;4077526 4085181 4101622;INA;INA;10;0.15;4;1;365.53;1.52;3.5;0.59;3.82;0.24;63.89;0.85;0.04;3.81;1.97;1.82;1.8;1.07;0.95;0.91;146.65;129.93;184.42;169.68;125.93;60.69;151.67;135.59;175.47;0.3;4.57;3.85;0.1;32.88;7.63;2.66;2.09;0.62;2.77;3.6;3;1;5;2;1;15;2;1;0.06;2.11;7;5;1;0;10;3;4;22;142;32;74;1;1;19;7;0;11;1;8;8;9;32;2;13;13;29;13;13;7;10;3;7;0;5;5.78;0.95
CCOC(=O)C1=C(CN2CCOC(C2C(=O)O)C)NC(=NC1c1ccc(cc1Br)F)c1nccs1;4059649 4094822;INA;INA;8;0.13;4;1;346.18;1.41;3.28;0.66;3.16;0.27;60.15;0.89;0.06;3.81;1.95;1.82;1.8;0.96;0.93;0.89;146.65;129.93;186.07;169.68;129.68;60.69;151.67;135.59;173.37;0.31;4.58;3.86;0.1;30.31;7.76;2.72;1.91;0.62;2.84;3.82;3;1;4;3;1;14;2;1;-0.51;1.75;4;5;2;0;9;3;3;22;118;32;60;1;1;18;7;0;12;1;8;8;12;30;2;13;13;29;13;17;7;12;2;9;0;5;4.84;0.94
CCOC(=O)C1=C(CN2CCOCC2C(=O)O)NC(=NC1c1ccc(cc1Br)F)c1nccs1;4061060 4089481 4092352;INA;INA;8;0.14;4;1;334.82;1.37;3.19;0.66;3.03;0.27;57.32;0.95;0.05;3.81;1.93;1.81;1.78;0.95;0.92;0.82;146.65;129.93;181.83;169.68;120.86;60.69;151.67;135.59;177.96;0.32;4.58;3.85;0.1;28.37;7.76;2.71;1.91;0.62;2.84;3.79;3;1;5;2;1;15;2;1;-0.49;1.73;5;5;2;0;8;3;1;22;118;32;60;1;1;17;7;0;12;1;7;8;10;29;2;12;13;26;13;17;6;10;1;9;0;5;3.97;0.95
CCOC(=O)C1=C(CN2CCOCC2C(=O)O)NC(=NC1c1ccc(cc1Cl)Cl)c1nccs1;4061904 4068628 4083668 4095001 4095407;INA;INA;8;0.14;4;1;334.82;1.37;3.16;0.66;3.03;0.27;53.24;1.05;0.05;3.81;1.93;1.81;1.78;0.95;0.92;0.82;146.65;114.97;209;169.68;153.2;60.69;151.67;130.42;172.79;0.32;4.58;3.85;0.1;28.27;7.76;2.71;1.91;0.62;2.84;3.79;3;1;5;2;1;15;2;1;-0.39;1.75;5;5;2;0;9;4;2;22;118;0;60;1;1;17;7;0;12;1;7;8;10;29;2;12;13;26;13;17;6;10;1;9;4;0;3.97;0.94
