SMILES;ID;pIC50;label;nDB;nBnz;ARR;MAXDN;MAXDP;PCR;Yindex;Chi_Dz(Z);ATSC3m;ATSC7v;JGI3;SpMax4_Bh(m);SpMax3_Bh(v);SpMax5_Bh(v);SpMax8_Bh(v);SpMax2_Bh(p);SpMin4_Bh(m);SpMin2_Bh(v);SpMin2_Bh(e);SpMin2_Bh(s);P_VSA_LogP_4;P_VSA_p_2;SpMaxA_EA(ed);nCrs;nCb-;nRNR2;nArOR;nArX;C-006;C-024;C-040;H-053;O-058;SssCH2;SsssCH;SdssC;SaasC;SssssC;SaasN;NssCH2;NsssCH;NdssC;CATS2D_04_DL;CATS2D_00_AA;CATS2D_02_AA;CATS2D_05_AA;CATS2D_06_AA;CATS2D_08_AA;CATS2D_04_AL;CATS2D_00_LL;CATS2D_03_LL;CATS2D_07_LL;CATS2D_09_LL;T(N..N);T(N..O);T(N..F);T(O..O);B01[N-O];B02[O-O];B06[N-O];F03[C-N];F03[N-O];F04[C-N];F04[C-O];F05[C-C];F05[N-O];F05[O-O];F06[C-N];F06[C-O];F07[C-C];F07[C-O];F07[C-Cl];F07[N-N];F08[C-N];F08[C-O];F08[N-N];F10[C-C];F10[N-N];MLOGP2
CC(=O)N1CCN(CC1)c1cnc2c(c1)c(cc(c2)C(F)(F)F)NC(c1cccc(c1)[N+](=O)[O-])[2H];3221132;INA;INA;3;2;0.46;5.81;5.5;1.44;0.51;0.24;26.42;10.93;0.04;3.56;3.66;3.24;2.91;3.87;1.68;2.05;1.93;1.23;76.42;122.61;0.32;0;6;0;0;0;5;7;1;0;1;2.38;0;0;0.6;-4.56;0;5;0;1;2;7;2;1;1;1;6;11;5;7;1;66;122;117;34;1;1;1;11;0;15;6;23;1;0;7;1;26;4;0;0;10;5;1;13;1;10.06
CC(C(=O)N1CCC(CC1)n1nc(c(c1C)Nc1ncc(c(n1)c1cnn2c1cccc2)Cl)C)N;3822644 3824103;INA;INA;1;0;0.54;1.81;5.22;1.49;0.4;0.23;36.71;18.17;0.06;3.72;3.67;3.4;2.91;3.86;1.82;2.05;1.86;1.12;120.29;149.02;0.29;3;0;0;0;1;2;3;1;4;1;3.01;-0.26;0;5.04;0;2.05;4;2;1;1;8;2;5;3;0;5;10;2;3;5;244;79;0;0;0;0;1;23;1;18;2;23;0;0;17;0;19;1;3;2;18;3;1;17;1;6.13
CC(N1CCN(CC1)C(=O)C1CC21CCN(CC2)C1CCOCC1)C;3124968 3127672 3127698;INA;INA;1;0;0;1.21;5.97;1.01;0.48;0.24;40.46;15.08;0.05;3.4;3.64;3.21;2.91;3.66;1.81;2.03;1.81;1.33;40.85;45.52;0.53;6;0;2;0;0;8;0;1;4;1;14.16;1.65;0.46;0;0.36;0;13;3;1;0;5;1;1;2;0;6;9;0;2;4;18;40;0;10;0;0;1;5;0;6;4;17;1;0;2;3;14;4;0;0;6;4;0;12;0;4.02
CC1CCCCN1CCCNCc1ccc(cc1)CNCCCN1CCCCC1C;2170299 2170444;INA;INA;0;1;0.19;0.55;1.12;1.15;0.35;0.16;45.13;17.7;0.03;3.48;3.72;3.4;3.1;3.75;1.88;2.06;1.86;1.44;0;42.27;0.27;8;2;2;0;0;8;4;0;4;0;20.15;1.57;0;2.79;0;0;16;2;0;4;2;0;0;0;0;0;16;5;2;14;52;0;0;0;0;0;0;10;0;4;0;19;0;0;10;0;18;0;0;1;6;0;0;22;0;11.99
CC1CN(CCN1S(=O)(=O)c1ccc(cc1)C(C(F)(F)F)(O)C)CC1(CC1)C(=O)N;460962 465955 489500;INA;INA;3;1;0.19;6.14;6.02;1.16;0.58;0.27;40.01;14.6;0.07;3.59;3.69;3.2;2.75;3.87;1.68;1.99;1.81;1.2;74.16;149.68;0.48;3;2;1;0;0;4;4;1;0;3;3.03;-0.38;-0.33;-0.58;-8.47;0;6;1;1;2;6;3;2;0;0;10;10;4;1;7;14;76;102;48;0;1;0;9;0;3;12;19;2;0;8;6;8;7;0;1;1;8;0;8;0;1.45
CCOC(=O)C1=C(CN2CC(C)(C)OCC2C(=O)O)NC(=NC1c1ccc(cc1Br)F)c1nccs1;4074324 4104891;INA;INA;4;1;0.28;2.69;6.3;1.26;0.66;0.26;36.61;19.87;0.05;3.78;3.7;3.32;2.89;3.81;1.77;1.99;1.82;1.2;146.65;169.68;0.3;2;3;1;0;2;4;3;3;0;2;0.56;-1.75;-0.53;1.15;-0.59;0;4;2;5;1;8;2;3;1;9;6;10;3;4;5;22;118;32;60;0;1;1;9;3;15;10;33;2;0;14;17;32;17;0;0;8;14;0;15;0;5.78
CCOC(=O)C1=C(CN2CCOC(C2)CCC(=O)O)NC(=NC1c1ccc(cc1Br)F)c1nccs1;4077526 4085181 4101622;INA;INA;4;1;0.28;2.53;6.25;1.26;0.59;0.24;39.88;21.36;0.04;3.74;3.68;3.36;2.94;3.81;1.79;1.98;1.8;1.22;146.65;169.68;0.3;2;3;1;0;2;5;3;3;0;2;2.55;-0.98;0.06;1.35;0;0;7;2;5;1;8;2;5;3;3;7;10;3;5;4;22;142;32;74;0;1;1;8;1;16;9;32;2;2;13;13;29;13;0;0;7;10;0;14;0;5.78
CCOC(=O)C1=C(CN2CCOC(C2C(=O)O)C)NC(=NC1c1ccc(cc1Br)F)c1nccs1;4059649 4094822;INA;INA;4;1;0.29;2.68;6.23;1.26;0.66;0.27;35.77;18.9;0.06;3.76;3.68;3.27;2.93;3.81;1.76;1.98;1.8;1.2;146.65;169.68;0.31;3;3;1;0;2;4;3;3;0;2;0.96;-2.27;-0.51;1.16;0;0;4;3;5;2;8;2;3;1;9;8;9;3;4;3;22;118;32;60;0;1;1;8;3;15;12;30;2;0;13;13;29;17;0;0;7;12;0;10;0;4.84
CCOC(=O)C1=C(CN2CCOCC2C(=O)O)NC(=NC1c1ccc(cc1Br)F)c1nccs1;4061060 4089481 4092352;INA;INA;4;1;0.3;2.68;6.17;1.27;0.66;0.27;32.37;18.21;0.05;3.74;3.66;3.27;2.88;3.81;1.74;1.96;1.78;1.18;146.65;169.68;0.32;2;3;1;0;2;5;3;3;0;2;1.04;-1.7;-0.49;1.17;0;0;5;2;5;1;8;2;3;1;9;6;8;3;4;1;22;118;32;60;0;1;1;7;3;15;10;29;2;0;12;13;26;17;0;0;6;10;0;5;0;3.97
CCOC(=O)C1=C(CN2CCOCC2C(=O)O)NC(=NC1c1ccc(cc1Cl)Cl)c1nccs1;4061904 4068628 4083668 4095001 4095407;INA;INA;4;1;0.3;2.67;6.19;1.27;0.66;0.27;31.87;18.01;0.05;3.69;3.66;3.27;2.88;3.81;1.74;1.96;1.78;1.18;146.65;169.68;0.32;2;3;1;0;2;5;3;3;0;2;1.12;-1.66;-0.39;1.98;0;0;5;2;5;1;8;2;3;1;9;6;9;4;4;2;22;118;0;60;0;1;1;7;3;15;10;29;2;0;12;13;26;17;4;0;6;10;0;5;0;3.97
